"date","category","disp_desc","n"
2015-01-02,"Property Theft/Destruction/Lost","Report Taken",4
2015-01-02,"Property Theft/Destruction/Lost","Service",4
2015-01-02,"Required Other Agency/Department Response","Referred",4
2015-01-02,"Suspicious Activity","Advised",1
2015-01-02,"Suspicious Activity","Cancelled by RP",1
2015-01-02,"Suspicious Activity","Service",5
2015-01-02,"Suspicious Activity","Unable to Locate",1
2015-01-02,"Traffic/Major Safety","Arrest Made",1
2015-01-02,"Traffic/Major Safety","Referred",1
2015-01-02,"Traffic/Major Safety","Report Taken",1
2015-01-02,"Traffic/Major Safety","Service",2
2015-01-02,"Traffic/Minor Vehicle Violations or Issues","Service",3
2015-01-02,"Traffic/Minor Vehicle Violations or Issues","Unable to Locate",1
2015-01-02,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",3
2015-01-02,"Violent Crime/Abuse or Neglect/Public Safety","Service",3
2015-01-03,"Documentation Only/Miscellaneous","Service",1
2015-01-03,"Drug/Alcohol","Unable to Locate",1
2015-01-03,"Nuisance/Code Enforcement","Advised",1
2015-01-03,"Nuisance/Code Enforcement","Service",1
2015-01-03,"Nuisance/Code Enforcement","Unfounded",1
2015-01-03,"Officer-Initiated Contact","Advised",14
2015-01-03,"Officer-Initiated Contact","Arrest Made",1
2015-01-03,"Officer-Initiated Contact","Cited",7
2015-01-03,"Officer-Initiated Contact","Service",14
2015-01-03,"Patrol Response for Assessment","Arrest Made",1
2015-01-03,"Patrol Response for Assessment","Cancelled by RP",5
2015-01-03,"Patrol Response for Assessment","Incident Number Given",1
2015-01-03,"Patrol Response for Assessment","Referred",1
2015-01-03,"Patrol Response for Assessment","Service",18
2015-01-03,"Property Theft/Destruction/Lost","Online Crime Report",1
2015-01-03,"Property Theft/Destruction/Lost","Report Taken",1
2015-01-03,"Property Theft/Destruction/Lost","Service",1
2015-01-03,"Required Other Agency/Department Response","Referred",1
2015-01-03,"Required Other Agency/Department Response","Service",2
2015-01-03,"Suspicious Activity","Cancelled by RP",2
2015-01-03,"Suspicious Activity","False Alarm",1
2015-01-03,"Suspicious Activity","Service",4
2015-01-03,"Suspicious Activity","Unable to Locate",1
2015-01-03,"Traffic/Major Safety","Advised",1
2015-01-03,"Violent Crime/Abuse or Neglect/Public Safety","Cancelled by RP",1
2015-01-03,"Violent Crime/Abuse or Neglect/Public Safety","Service",1
2015-01-04,"Documentation Only/Miscellaneous","Service",2
2015-01-04,"Drug/Alcohol","Unfounded",1
2015-01-04,"Mental Health/Welfare","Cancelled by RP",1
2015-01-04,"Mental Health/Welfare","Report Taken",1
2015-01-04,"Mental Health/Welfare","Service",1
2015-01-04,"Nuisance/Code Enforcement","Service",3
2015-01-04,"Nuisance/Code Enforcement","Unable to Locate",2
2015-01-04,"Officer-Initiated Contact","Advised",11
2015-01-04,"Officer-Initiated Contact","Arrest Made",2
2015-01-04,"Officer-Initiated Contact","Cited",3
2015-01-04,"Officer-Initiated Contact","Civil Problem",1
2015-01-04,"Officer-Initiated Contact","Service",16
2015-01-04,"Officer-Initiated Contact","Unable to Locate",3
2015-01-04,"Patrol Response for Assessment","Advised",1
2015-01-04,"Patrol Response for Assessment","Cancelled by RP",1
2015-01-04,"Patrol Response for Assessment","Civil Problem",1
2015-01-04,"Patrol Response for Assessment","Service",18
2015-01-04,"Patrol Response for Assessment","Unable to Locate",2
2015-01-04,"Property Theft/Destruction/Lost","Report Taken",4
2015-01-04,"Required Other Agency/Department Response","Service",2
2015-01-04,"Suspicious Activity","False Alarm",2
2015-01-04,"Suspicious Activity","Unable to Locate",2
2015-01-04,"Traffic/Minor Vehicle Violations or Issues","Arrest Made",1
2015-01-04,"Traffic/Minor Vehicle Violations or Issues","Referred",1
2015-01-04,"Traffic/Minor Vehicle Violations or Issues","Report Taken",1
2015-01-04,"Traffic/Minor Vehicle Violations or Issues","Service",3
2015-01-04,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",1
2015-01-04,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2015-01-05,"Documentation Only/Miscellaneous","Report Taken",1
2015-01-05,"Documentation Only/Miscellaneous","Service",9
2015-01-05,"Mental Health/Welfare","Cancelled by RP",1
2015-01-05,"Mental Health/Welfare","Service",1
2015-01-05,"Nuisance/Code Enforcement","Advised",2
2015-01-05,"Nuisance/Code Enforcement","False Alarm",1
2015-01-05,"Nuisance/Code Enforcement","Referred",3
2015-01-05,"Nuisance/Code Enforcement","Service",2
2015-01-05,"Officer-Initiated Contact","Advised",16
2015-01-05,"Officer-Initiated Contact","Cited",14
2015-01-05,"Officer-Initiated Contact","Service",24
2015-01-05,"Patrol Response for Assessment","Advised",1
2015-01-05,"Patrol Response for Assessment","Cancelled by RP",5
2015-01-05,"Patrol Response for Assessment","Report Taken",2
2015-01-05,"Patrol Response for Assessment","Service",27
2015-01-05,"Property Theft/Destruction/Lost","Advised",1
2015-01-05,"Property Theft/Destruction/Lost","MORF",2
2015-01-05,"Property Theft/Destruction/Lost","Report Taken",1
2015-01-05,"Property Theft/Destruction/Lost","Service",7
2015-01-05,"Required Other Agency/Department Response","Referred",5
2015-01-05,"Suspicious Activity","Advised",1
2015-01-05,"Suspicious Activity","Cancelled by RP",1
2015-01-05,"Suspicious Activity","Report Taken",1
2015-01-05,"Suspicious Activity","Service",3
2015-01-05,"Suspicious Activity","Unable to Locate",2
2015-01-05,"Traffic/Major Safety","Cancelled by RP",1
2015-01-05,"Traffic/Major Safety","Report Taken",1
2015-01-05,"Traffic/Minor Vehicle Violations or Issues","Advised",1
2015-01-05,"Traffic/Minor Vehicle Violations or Issues","Service",14
2015-01-05,"Traffic/Minor Vehicle Violations or Issues",NA,1
2015-01-05,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",1
2015-01-05,"Violent Crime/Abuse or Neglect/Public Safety","Service",1
2015-01-06,"Documentation Only/Miscellaneous","Report Taken",2
2015-01-06,"Documentation Only/Miscellaneous","Service",6
2015-01-06,"Mental Health/Welfare","Referred",1
2015-01-06,"Mental Health/Welfare","Report Taken",1
2015-01-06,"Mental Health/Welfare","Service",1
2015-01-06,"Mental Health/Welfare","Unable to Locate",1
2015-01-06,"Nuisance/Code Enforcement","Advised",1
2015-01-06,"Nuisance/Code Enforcement","Referred",1
2015-01-06,"Nuisance/Code Enforcement","Service",3
2015-01-06,"Officer-Initiated Contact","Advised",29
2015-01-06,"Officer-Initiated Contact","Arrest Made",1
2015-01-06,"Officer-Initiated Contact","Cited",13
2015-01-06,"Officer-Initiated Contact","Service",20
2015-01-06,"Patrol Response for Assessment","Advised",1
2015-01-06,"Patrol Response for Assessment","Cancelled by RP",6
2015-01-06,"Patrol Response for Assessment","Civil Problem",1
2015-01-06,"Patrol Response for Assessment","Referred",3
2015-01-06,"Patrol Response for Assessment","Report Taken",1
2015-01-06,"Patrol Response for Assessment","Service",23
2015-01-06,"Patrol Response for Assessment","Unable to Locate",4
2015-01-06,"Property Theft/Destruction/Lost","Cancelled by RP",1
2015-01-06,"Property Theft/Destruction/Lost","Online Crime Report",8
2015-01-06,"Property Theft/Destruction/Lost","Report Taken",6
2015-01-06,"Required Other Agency/Department Response","Referred",2
2015-01-06,"Suspicious Activity","Cancelled by RP",2
2015-01-06,"Suspicious Activity","False Alarm",1
2015-01-06,"Suspicious Activity","Service",5
2015-01-06,"Suspicious Activity","Unable to Locate",3
2015-01-06,"Traffic/Major Safety","Report Taken",1
2015-01-06,"Traffic/Major Safety","Service",1
2015-01-06,"Traffic/Major Safety","Unable to Locate",1
2015-01-06,"Traffic/Minor Vehicle Violations or Issues","Cited",1
2015-01-06,"Traffic/Minor Vehicle Violations or Issues","Service",11
2015-01-06,"Violent Crime/Abuse or Neglect/Public Safety","Cancelled by RP",1
2015-01-06,"Violent Crime/Abuse or Neglect/Public Safety","Referred",1
2015-01-06,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",2
2015-01-06,"Violent Crime/Abuse or Neglect/Public Safety","Service",1
2015-01-06,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2015-01-07,"Documentation Only/Miscellaneous","Report Taken",2
2015-01-07,"Documentation Only/Miscellaneous","Service",7
2015-01-07,"Drug/Alcohol","Service",2
2015-01-07,"Mental Health/Welfare","Service",3
2015-01-07,"Mental Health/Welfare","Unable to Locate",1
2015-01-07,"Nuisance/Code Enforcement","Referred",1
2015-01-07,"Nuisance/Code Enforcement","Service",2
2015-01-07,"Officer-Initiated Contact","Advised",30
2015-01-07,"Officer-Initiated Contact","Cited",20
2015-01-07,"Officer-Initiated Contact","Service",17
2015-01-07,"Patrol Response for Assessment","Cancelled by RP",3
2015-01-07,"Patrol Response for Assessment","Report Taken",3
2015-01-07,"Patrol Response for Assessment","Service",33
2015-01-07,"Patrol Response for Assessment","Unable to Locate",2
2015-01-07,"Property Theft/Destruction/Lost","Cancelled by RP",1
2015-01-07,"Property Theft/Destruction/Lost","Online Crime Report",2
2015-01-07,"Property Theft/Destruction/Lost","Report Taken",8
2015-01-07,"Property Theft/Destruction/Lost","Service",1
2015-01-07,"Property Theft/Destruction/Lost","Unfounded",1
2015-01-07,"Required Other Agency/Department Response","Referred",1
2015-01-07,"Suspicious Activity","Cancelled by RP",3
2015-01-07,"Suspicious Activity","False Alarm",2
2015-01-07,"Suspicious Activity","Service",6
2015-01-07,"Traffic/Major Safety","Report Taken",2
2015-01-07,"Traffic/Major Safety","Service",2
2015-01-07,"Traffic/Minor Vehicle Violations or Issues","Cited",2
2015-01-07,"Traffic/Minor Vehicle Violations or Issues","Incident Number Given",1
2015-01-07,"Traffic/Minor Vehicle Violations or Issues","Service",2
2015-01-07,"Traffic/Minor Vehicle Violations or Issues","Unable to Locate",1
2015-01-07,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",1
2015-01-07,"Violent Crime/Abuse or Neglect/Public Safety","Service",1
2015-01-08,"Documentation Only/Miscellaneous","Service",13
2015-01-08,"Drug/Alcohol","Arrest Made",2
2015-01-08,"Drug/Alcohol","Service",1
2015-01-08,"Mental Health/Welfare","Advised",1
2015-01-08,"Mental Health/Welfare","Service",3
2015-01-08,"Nuisance/Code Enforcement","False Alarm",1
2015-01-08,"Nuisance/Code Enforcement","Referred",2
2015-01-08,"Nuisance/Code Enforcement","Service",4
2015-01-08,"Officer-Initiated Contact","Advised",16
2015-01-08,"Officer-Initiated Contact","Arrest Made",3
2015-01-08,"Officer-Initiated Contact","Cited",11
2015-01-08,"Officer-Initiated Contact","Report Taken",1
2015-01-08,"Officer-Initiated Contact","Service",28
2015-01-08,"Officer-Initiated Contact","Unfounded",1
2015-01-08,"Patrol Response for Assessment","Advised",2
2015-01-08,"Patrol Response for Assessment","Cancelled by RP",6
2015-01-08,"Patrol Response for Assessment","Incident Number Given",2
2015-01-08,"Patrol Response for Assessment","Referred",2
2015-01-08,"Patrol Response for Assessment","Report Taken",2
2015-01-08,"Patrol Response for Assessment","Service",18
2015-01-08,"Property Theft/Destruction/Lost","Online Crime Report",9
2015-01-08,"Property Theft/Destruction/Lost","Report Taken",2
2015-01-08,"Property Theft/Destruction/Lost","Service",4
2015-01-08,"Required Other Agency/Department Response","Cancelled by RP",1
2015-01-08,"Required Other Agency/Department Response","Referred",2
2015-01-08,"Suspicious Activity","Advised",2
2015-01-08,"Suspicious Activity","False Alarm",1
2015-01-08,"Suspicious Activity","Report Taken",1
2015-01-08,"Suspicious Activity","Service",1
2015-01-08,"Traffic/Major Safety","Report Taken",1
2015-01-08,"Traffic/Major Safety","Unable to Locate",2
2015-01-08,"Traffic/Minor Vehicle Violations or Issues","Cancelled by RP",2
2015-01-08,"Traffic/Minor Vehicle Violations or Issues","Service",10
2015-01-08,"Violent Crime/Abuse or Neglect/Public Safety","Advised",1
2015-01-08,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",1
2015-01-08,"Violent Crime/Abuse or Neglect/Public Safety","Service",2
2015-01-09,"Documentation Only/Miscellaneous","Service",2
2015-01-09,"Drug/Alcohol","Arrest Made",1
2015-01-09,"Drug/Alcohol","Unable to Locate",1
2015-01-09,"Mental Health/Welfare","Service",4
2015-01-09,"Nuisance/Code Enforcement","Advised",1
2015-01-09,"Nuisance/Code Enforcement","Cited",1
2015-01-09,"Nuisance/Code Enforcement","Referred",1
2015-01-09,"Nuisance/Code Enforcement","Service",5
2015-01-09,"Officer-Initiated Contact","Advised",22
2015-01-09,"Officer-Initiated Contact","Arrest Made",3
2015-01-09,"Officer-Initiated Contact","Cited",19
2015-01-09,"Officer-Initiated Contact","Service",41
2015-01-09,"Patrol Response for Assessment","Advised",1
2015-01-09,"Patrol Response for Assessment","Cancelled by RP",3
2015-01-09,"Patrol Response for Assessment","Service",38
2015-01-09,"Property Theft/Destruction/Lost","MORF",1
2015-01-09,"Property Theft/Destruction/Lost","Online Crime Report",7
2015-01-09,"Property Theft/Destruction/Lost","Report Taken",2
2015-01-09,"Property Theft/Destruction/Lost","Service",3
2015-01-09,"Suspicious Activity","Advised",1
2015-01-09,"Suspicious Activity","Cancelled by RP",1
2015-01-09,"Suspicious Activity","Service",5
2015-01-09,"Suspicious Activity","Unable to Locate",2
2015-01-09,"Traffic/Major Safety","Service",1
2015-01-09,"Traffic/Major Safety","Unable to Locate",2
2015-01-09,"Traffic/Minor Vehicle Violations or Issues","Cited",1
2015-01-09,"Traffic/Minor Vehicle Violations or Issues","Service",6
2015-01-09,"Traffic/Minor Vehicle Violations or Issues","Unable to Locate",1
2015-01-09,"Violent Crime/Abuse or Neglect/Public Safety","Advised",2
2015-01-09,"Violent Crime/Abuse or Neglect/Public Safety","Arrest Made",1
2015-01-09,"Violent Crime/Abuse or Neglect/Public Safety","False Alarm",1
2015-01-09,"Violent Crime/Abuse or Neglect/Public Safety","Service",3
2015-01-10,"Mental Health/Welfare","Advised",1
2015-01-10,"Mental Health/Welfare","Report Taken",1
2015-01-10,"Mental Health/Welfare","Service",2
2015-01-10,"Mental Health/Welfare","Unable to Locate",1
2015-01-10,"Nuisance/Code Enforcement","Advised",2
2015-01-10,"Nuisance/Code Enforcement","Arrest Made",1
2015-01-10,"Nuisance/Code Enforcement","Service",5
2015-01-10,"Nuisance/Code Enforcement","Unable to Locate",2
2015-01-10,"Nuisance/Code Enforcement","Unfounded",1
2015-01-10,"Officer-Initiated Contact","Advised",23
2015-01-10,"Officer-Initiated Contact","Arrest Made",2
2015-01-10,"Officer-Initiated Contact","Cited",7
2015-01-10,"Officer-Initiated Contact","Report Taken",2
2015-01-10,"Officer-Initiated Contact","Service",22
2015-01-10,"Patrol Response for Assessment","Arrest Made",2
2015-01-10,"Patrol Response for Assessment","Service",23
2015-01-10,"Patrol Response for Assessment","Unable to Locate",1
2015-01-10,"Property Theft/Destruction/Lost","Online Crime Report",1
2015-01-10,"Property Theft/Destruction/Lost","Report Taken",1
2015-01-10,"Property Theft/Destruction/Lost","Service",2
2015-01-10,"Property Theft/Destruction/Lost","Unfounded",1
2015-01-10,"Required Other Agency/Department Response","Referred",2
2015-01-10,"Required Other Agency/Department Response","Service",1
2015-01-10,"Suspicious Activity","Arrest Made",1
2015-01-10,"Suspicious Activity","Service",3
2015-01-10,"Traffic/Major Safety","Advised",1
2015-01-10,"Traffic/Major Safety","Report Taken",2
2015-01-10,"Traffic/Minor Vehicle Violations or Issues","Cited",2
2015-01-10,"Violent Crime/Abuse or Neglect/Public Safety","Advised",1
2015-01-10,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",4
2015-01-10,"Violent Crime/Abuse or Neglect/Public Safety","Service",1
2015-01-10,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2015-01-11,"Documentation Only/Miscellaneous","Service",1
2015-01-11,"Drug/Alcohol","Advised",1
2015-01-11,"Mental Health/Welfare","Arrest Made",1
2015-01-11,"Mental Health/Welfare","Service",1
2015-01-11,"Nuisance/Code Enforcement","Advised",2
2015-01-11,"Nuisance/Code Enforcement","Cancelled by RP",1
2015-01-11,"Nuisance/Code Enforcement","Cited",2
2015-01-11,"Nuisance/Code Enforcement","Report Taken",1
2015-01-11,"Nuisance/Code Enforcement","Service",2
2015-01-11,"Nuisance/Code Enforcement","Unable to Locate",3
2015-01-11,"Officer-Initiated Contact","Advised",17
2015-01-11,"Officer-Initiated Contact","Arrest Made",2
2015-01-11,"Officer-Initiated Contact","Cited",10
2015-01-11,"Officer-Initiated Contact","Referred",1
2015-01-11,"Officer-Initiated Contact","Report Taken",1
2015-01-11,"Officer-Initiated Contact","Service",22
2015-01-11,"Patrol Response for Assessment","Advised",1
2015-01-11,"Patrol Response for Assessment","Arrest Made",1
2015-01-11,"Patrol Response for Assessment","Cancelled by RP",2
2015-01-11,"Patrol Response for Assessment","Referred",1
2015-01-11,"Patrol Response for Assessment","Service",13
2015-01-11,"Patrol Response for Assessment","Unable to Locate",1
2015-01-11,"Property Theft/Destruction/Lost","Cancelled by RP",1
2015-01-11,"Property Theft/Destruction/Lost","Incident Number Given",1
2015-01-11,"Property Theft/Destruction/Lost","Report Taken",3
2015-01-11,"Property Theft/Destruction/Lost","Unfounded",1
2015-01-11,"Suspicious Activity","Cancelled by RP",1
2015-01-11,"Suspicious Activity","False Alarm",1
2015-01-11,"Suspicious Activity","Service",4
2015-01-11,"Suspicious Activity","Unable to Locate",2
2015-01-11,"Suspicious Activity","Unfounded",1
2015-01-11,"Traffic/Major Safety","Service",1
2015-01-11,"Traffic/Minor Vehicle Violations or Issues","Advised",1
2015-01-11,"Traffic/Minor Vehicle Violations or Issues","Service",1
2015-01-11,"Violent Crime/Abuse or Neglect/Public Safety","Civil Problem",1
2015-01-11,"Violent Crime/Abuse or Neglect/Public Safety","Service",3
2015-01-11,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2015-01-12,"Documentation Only/Miscellaneous","Service",4
2015-01-12,"Drug/Alcohol","Service",1
2015-01-12,"Mental Health/Welfare","Service",2
2015-01-12,"Nuisance/Code Enforcement","Referred",2
2015-01-12,"Nuisance/Code Enforcement","Service",5
2015-01-12,"Nuisance/Code Enforcement","Unable to Locate",1
2015-01-12,"Officer-Initiated Contact","Advised",10
2015-01-12,"Officer-Initiated Contact","Arrest Made",1
2015-01-12,"Officer-Initiated Contact","Cited",19
2015-01-12,"Officer-Initiated Contact","Report Taken",2
2015-01-12,"Officer-Initiated Contact","Service",25
2015-01-12,"Patrol Response for Assessment","Cancelled by RP",2
2015-01-12,"Patrol Response for Assessment","Report Taken",1
2015-01-12,"Patrol Response for Assessment","Service",21
2015-01-12,"Patrol Response for Assessment","Unable to Locate",1
2015-01-12,"Property Theft/Destruction/Lost","Cancelled by RP",1
2015-01-12,"Property Theft/Destruction/Lost","Report Taken",9
2015-01-12,"Required Other Agency/Department Response","Referred",1
2015-01-12,"Required Other Agency/Department Response","Service",2
2015-01-12,"Suspicious Activity","Advised",1
2015-01-12,"Suspicious Activity","Cancelled by RP",1
2015-01-12,"Suspicious Activity","Service",2
2015-01-12,"Suspicious Activity","Unable to Locate",2
2015-01-12,"Traffic/Major Safety","Report Taken",1
2015-01-12,"Traffic/Major Safety","Service",2
2015-01-12,"Traffic/Major Safety","Unable to Locate",1
2015-01-12,"Traffic/Minor Vehicle Violations or Issues","Service",7
2015-01-12,"Traffic/Minor Vehicle Violations or Issues","Unable to Locate",1
2015-01-12,"Violent Crime/Abuse or Neglect/Public Safety","Arrest Made",1
2015-01-12,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",1
2015-01-12,"Violent Crime/Abuse or Neglect/Public Safety","Service",3
2015-01-13,"Documentation Only/Miscellaneous","Referred",1
2015-01-13,"Documentation Only/Miscellaneous","Report Taken",1
2015-01-13,"Documentation Only/Miscellaneous","Service",7
2015-01-13,"Mental Health/Welfare","Arrest Made",1
2015-01-13,"Mental Health/Welfare","Service",2
2015-01-13,"Nuisance/Code Enforcement","Service",5
2015-01-13,"Nuisance/Code Enforcement","Unable to Locate",6
2015-01-13,"Officer-Initiated Contact","Advised",9
2015-01-13,"Officer-Initiated Contact","Cited",14
2015-01-13,"Officer-Initiated Contact","Report Taken",1
2015-01-13,"Officer-Initiated Contact","Service",35
2015-01-13,"Patrol Response for Assessment","Advised",2
2015-01-13,"Patrol Response for Assessment","Cancelled by RP",2
2015-01-13,"Patrol Response for Assessment","Service",13
2015-01-13,"Patrol Response for Assessment","Unable to Locate",1
2015-01-13,"Property Theft/Destruction/Lost","MORF",1
2015-01-13,"Property Theft/Destruction/Lost","Online Crime Report",21
2015-01-13,"Property Theft/Destruction/Lost","Referred",1
2015-01-13,"Property Theft/Destruction/Lost","Report Taken",6
2015-01-13,"Property Theft/Destruction/Lost","Unable to Locate",1
2015-01-13,"Required Other Agency/Department Response","Service",1
2015-01-13,"Suspicious Activity","Cancelled by RP",3
2015-01-13,"Suspicious Activity","Service",9
2015-01-13,"Suspicious Activity","Unable to Locate",2
2015-01-13,"Traffic/Major Safety","Report Taken",1
2015-01-13,"Traffic/Minor Vehicle Violations or Issues","Report Taken",1
2015-01-13,"Traffic/Minor Vehicle Violations or Issues","Service",4
2015-01-13,"Violent Crime/Abuse or Neglect/Public Safety","Arrest Made",1
2015-01-14,"Documentation Only/Miscellaneous","Service",6
2015-01-14,"Drug/Alcohol","Report Taken",1
2015-01-14,"Mental Health/Welfare","Service",2
2015-01-14,"Nuisance/Code Enforcement","Cancelled by RP",1
2015-01-14,"Nuisance/Code Enforcement","False Alarm",1
2015-01-14,"Nuisance/Code Enforcement","Referred",2
2015-01-14,"Nuisance/Code Enforcement","Service",4
2015-01-14,"Nuisance/Code Enforcement","Unable to Locate",3
2015-01-14,"Officer-Initiated Contact","Advised",19
2015-01-14,"Officer-Initiated Contact","Arrest Made",1
2015-01-14,"Officer-Initiated Contact","Cited",11
2015-01-14,"Officer-Initiated Contact","Incident Number Given",1
2015-01-14,"Officer-Initiated Contact","Service",21
2015-01-14,"Patrol Response for Assessment","Cancelled by RP",10
2015-01-14,"Patrol Response for Assessment","Report Taken",2
2015-01-14,"Patrol Response for Assessment","Service",32
2015-01-14,"Patrol Response for Assessment","Unable to Locate",3
2015-01-14,"Property Theft/Destruction/Lost","Incident Number Given",1
2015-01-14,"Property Theft/Destruction/Lost","MORF",1
2015-01-14,"Property Theft/Destruction/Lost","Online Crime Report",18
2015-01-14,"Property Theft/Destruction/Lost","Referred",2
2015-01-14,"Property Theft/Destruction/Lost","Report Taken",3
2015-01-14,"Property Theft/Destruction/Lost","Service",1
2015-01-14,"Suspicious Activity","Cancelled by RP",3
2015-01-14,"Suspicious Activity","Service",7
2015-01-14,"Suspicious Activity","Unable to Locate",3
2015-01-14,"Traffic/Major Safety","Referred",2
2015-01-14,"Traffic/Major Safety","Service",1
2015-01-14,"Traffic/Minor Vehicle Violations or Issues","Cancelled by RP",1
2015-01-14,"Traffic/Minor Vehicle Violations or Issues","Cited",1
2015-01-14,"Traffic/Minor Vehicle Violations or Issues","Service",11
2015-01-14,"Traffic/Minor Vehicle Violations or Issues","Unable to Locate",1
2015-01-14,"Traffic/Minor Vehicle Violations or Issues","Unfounded",1
2015-01-14,"Violent Crime/Abuse or Neglect/Public Safety","False Alarm",1
2015-01-14,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",2
2015-01-14,"Violent Crime/Abuse or Neglect/Public Safety","Service",2
2015-01-14,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2015-01-15,"Documentation Only/Miscellaneous","Service",3
2015-01-15,"Drug/Alcohol","Service",1
2015-01-15,"Mental Health/Welfare","Service",1
2015-01-15,"Nuisance/Code Enforcement","Advised",1
2015-01-15,"Nuisance/Code Enforcement","Referred",3
2015-01-15,"Nuisance/Code Enforcement","Service",2
2015-01-15,"Nuisance/Code Enforcement","Unable to Locate",2
2015-01-15,"Officer-Initiated Contact","Advised",18
2015-01-15,"Officer-Initiated Contact","Arrest Made",1
2015-01-15,"Officer-Initiated Contact","Cited",6
2015-01-15,"Officer-Initiated Contact","Report Taken",2
2015-01-15,"Officer-Initiated Contact","Service",27
2015-01-15,"Patrol Response for Assessment","Advised",5
2015-01-15,"Patrol Response for Assessment","Arrest Made",1
2015-01-15,"Patrol Response for Assessment","Cancelled by RP",5
2015-01-15,"Patrol Response for Assessment","Referred",2
2015-01-15,"Patrol Response for Assessment","Service",24
2015-01-15,"Patrol Response for Assessment","Unable to Locate",2
2015-01-15,"Patrol Response for Assessment","Unfounded",1
2015-01-15,"Property Theft/Destruction/Lost","Advised",1
2015-01-15,"Property Theft/Destruction/Lost","Cancelled by RP",1
2015-01-15,"Property Theft/Destruction/Lost","MORF",1
2015-01-15,"Property Theft/Destruction/Lost","Online Crime Report",16
2015-01-15,"Property Theft/Destruction/Lost","Referred",1
2015-01-15,"Property Theft/Destruction/Lost","Report Taken",1
2015-01-15,"Property Theft/Destruction/Lost","Service",1
2015-01-15,"Required Other Agency/Department Response","Cancelled by RP",1
2015-01-15,"Required Other Agency/Department Response","Referred",3
2015-01-15,"Suspicious Activity","Cancelled by RP",6
2015-01-15,"Suspicious Activity","Report Taken",1
2015-01-15,"Suspicious Activity","Service",5
2015-01-15,"Suspicious Activity","Unable to Locate",3
2015-01-15,"Traffic/Major Safety","Cancelled by RP",1
2015-01-15,"Traffic/Major Safety","Service",1
2015-01-15,"Traffic/Minor Vehicle Violations or Issues","Advised",1
2015-01-15,"Traffic/Minor Vehicle Violations or Issues","Service",7
2015-01-15,"Violent Crime/Abuse or Neglect/Public Safety","Arrest Made",1
2015-01-15,"Violent Crime/Abuse or Neglect/Public Safety","Referred",1
2015-01-15,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",3
2015-01-15,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2015-01-16,"Documentation Only/Miscellaneous","Service",5
